focus_group,expectations,processed_text
DOCE CPO Coordinators,Not enough visual urgency in Camino – IPS better at that as long as tickle date set for yourself,Not enough visual urgency in Camino – IPS better at that as long as tickle date set for yourself
DOCE CPO Coordinators,Anticipate that things are going to run out of space,Anticipate that things are going to run out of space
DOCE CPO Coordinators,Think it’s going to be an issue for ROW as far as applicants,Think it’s going to be an issue for ROW as far as applicants
DOCE CPO Coordinators,Every submission starts with an address,Every submission starts with an address
DOCE CPO Coordinators,"If you’re in city ROW, tie to house","If you’re in city ROW, tie to house"
DOCE CPO Coordinators,For food vendors or peddler – don't know what address to put – not accurate to the address,For food vendors or peddler – don't know what address to put – not accurate to the address
DOCE CPO Coordinators,Put something under specific event e.g. Christmas tree lighting – right now all under different addresses,Put something under specific event e.g. Christmas tree lighting – right now all under different addresses
DOCE CPO Coordinators,"Or for businesses that tow within city but aren’t located in city, can’t use city address – can't move forward with application – doesn't work for a lot of the permits they do – can't do streets and sidewalks in only place he has record keeping (some level of that in IPS – didn't have to tie things to a parcel)","Or for businesses that tow within city but aren’t located in city, can’t use city address – can't move forward with application – doesn't work for a lot of the permits they do – can't do streets and sidewalks in only place he has record keeping (some level of that in IPS – didn't have to tie things to a parcel)"
DOCE CPO Coordinators,Camino running out of space – just had to up space,Camino running out of space – just had to up space
DOCE CPO Coordinators,New weekly task for staff to clean out of ‘unsubmitted’ tasks,New weekly task for staff to clean out of ‘unsubmitted’ tasks
DOCE CPO Coordinators,"Camino – applicants that pay and don’t fill out the application or don’t submit, or complete the full application but don’t submit","Camino – applicants that pay and don’t fill out the application or don’t submit, or complete the full application but don’t submit"
DOCE CPO Coordinators,"Camino breaks at least once a week – applicants can’t submit anything – or can’t see document upload, or things that used to be in system","Camino breaks at least once a week – applicants can’t submit anything – or can’t see document upload, or things that used to be in system"
DOCE CPO Coordinators,New cert just stopped working,New cert just stopped working
DOCE CPO Coordinators,Things break and can’t figure out what happened,Things break and can’t figure out what happened
DOCE Housing Inspectors,Going out to house where dog issues or tenant or PO combative – county system would,Going out to house where dog issues or tenant or PO combative – county system would
DOCE Housing Inspectors,Info that would stick with the person,Info that would stick with the person
DOCE Housing Inspectors,Or rough consistently leaking – snapshot of what happens,Or rough consistently leaking – snapshot of what happens
DOCE Housing Inspectors,Notes on each individual case – get buried,Notes on each individual case – get buried
DOCE Housing Inspectors,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything
DOCE Housing Inspectors,Issue with admin aides reading internal notes to PO,Issue with admin aides reading internal notes to PO
DOCE Housing Inspectors,"Would like to see more stats – cases without inspection dates, or cases set to Need Review","Would like to see more stats – cases without inspection dates, or cases set to Need Review"
DOCE Housing Inspectors,X cases in BAA,X cases in BAA
DOCE Housing Inspectors,X amount of open cases,X amount of open cases
DOCE Housing Inspectors,Sometimes waiting,Sometimes waiting
DOCE Housing Inspectors,Generally IPS pretty is good,Generally IPS pretty is good
DOCE Housing Inspectors,"Takes some time to get use to, but gets faster ~6months to a year to get used to","Takes some time to get use to, but gets faster ~6months to a year to get used to"
DOCE Housing Inspectors,Some things should be auto-populated,Some things should be auto-populated
DOCE Housing Inspectors,Not any training materials,Not any training materials
DOCE Housing Inspectors,Did get some trainings when restarting VPR,Did get some trainings when restarting VPR
DOCE Housing Inspectors,Could do new complaint walk through for new guy,Could do new complaint walk through for new guy
DOCE Housing Inspectors,Did materials for Camino,Did materials for Camino
DOCE Housing Inspectors,Struggling with Camino,Struggling with Camino
DOCE Zoning,Post session discussion with Jake:,Post session discussion with Jake:
DOCE Zoning,Not opposed to considering a system that involves Permits if that’s what’s needed,Not opposed to considering a system that involves Permits if that’s what’s needed
DOCE Zoning,Permit inspectors do make up a smaller portion of overall inspector staff,Permit inspectors do make up a smaller portion of overall inspector staff
DOCE Zoning,"Didn’t come up, but also so much in CE related to tax status check, water billing, etc., other addresses","Didn’t come up, but also so much in CE related to tax status check, water billing, etc., other addresses"
DOCE Zoning,"Looking at/searching contractor information – Camino doesn’t do well, IPS has some capabilities","Looking at/searching contractor information – Camino doesn’t do well, IPS has some capabilities"
DOCE Zoning,Kelsey was convinced CRM was the solution for CE,Kelsey was convinced CRM was the solution for CE
DOCE Zoning,People component is important for lead enforcement,People component is important for lead enforcement
External OCHD,Ideally cloud based system with ability to host multiples users simultaneously,Ideally cloud based system with ability to host multiples users simultaneously
External OCHD,"Ideally would be great if system listed commonly used reports with ability to put in parameters of query, prompt for 3-4 things. Dashboard would be helpful","Ideally would be great if system listed commonly used reports with ability to put in parameters of query, prompt for 3-4 things. Dashboard would be helpful"
External OCHD,Have record information and links to open complaints for that record,Have record information and links to open complaints for that record
External OCHD,"Possible to build in links to other information about the property? Hyperlink to other parts of the record e.g. sometimes see property is in Land Bank phase; water billing info; or highlight that a PO has  designated a family member as responsible; special characteristics of property e.g. historic property, or in a flood plain with ability to search by attributes as well as view those attributes on a property – use case example: if targeting grants on SHPO properties","Possible to build in links to other information about the property? Hyperlink to other parts of the record e.g. sometimes see property is in Land Bank phase; water billing info; or highlight that a PO has designated a family member as responsible; special characteristics of property e.g. historic property, or in a flood plain with ability to search by attributes as well as view those attributes on a property – use case example: if targeting grants on SHPO properties"
External OCHD,"GIS mapping? Deb: Mapping is tricky have to protect identity of people associated with property, violation mapping would be different story","GIS mapping? Deb: Mapping is tricky have to protect identity of people associated with property, violation mapping would be different story"
External OCHD,"Would be wonderful for county to be able to view AS400 water billing records, read-only","Would be wonderful for county to be able to view AS400 water billing records, read-only"
External OCHD,"Easier way to share documents and photos instead of cluttering email - right now, if remoted in, Deb has to access city One Drive, attach from there, don’t bother with it most of the time because cumbersome/time consuming","Easier way to share documents and photos instead of cluttering email - right now, if remoted in, Deb has to access city One Drive, attach from there, don’t bother with it most of the time because cumbersome/time consuming"
IT,Auditing capabilities,Auditing capabilities
IT,Public facing view/access,Public facing view/access
IT,Ability to directly schedule inspections,Ability to directly schedule inspections
IT,Contest BAA tickets,Contest BAA tickets
IT,Report if trash already cleaned up,Report if trash already cleaned up
IT,Scott: Single sign on – control access through your own identity system – most important from IT perspective,Scott: Single sign on – control access through your own identity system – most important from IT perspective
IT,Can whitelist IPs for tablets,Can whitelist IPs for tablets
IT,Vinny: GIS integrations,Vinny: GIS integrations
IT,Integration with CPC?,Integration with CPC?
IT,CPC processing payments and updating fees for BAA tickets,CPC processing payments and updating fees for BAA tickets
IT,Payments for RR/CC applications occur in Camino – would intake move to future CE platform?,Payments for RR/CC applications occur in Camino – would intake move to future CE platform?
IT,Stan: What’s always come up related to that question is multiple entrypoints for payments – not ideal,Stan: What’s always come up related to that question is multiple entrypoints for payments – not ideal
IT,BAA – court management system – how relevant is ticket round to codes? Very interconnected,BAA – court management system – how relevant is ticket round to codes? Very interconnected
NBD Internal,Minimize windows – would be helpful.,Minimize windows – would be helpful.
NBD Kate,Abitility of better address look up. eg. Don’t have address then look up street then narrow down to the right property.,Abitility of better address look up. eg. Don’t have address then look up street then narrow down to the right property.
NBD Kate,We need to know ownership and ownership history.,We need to know ownership and ownership history.
NBD Kate,"We should have full inventory of images of every property and do that as a census, it will be really valuable info. IPS would be good place to park that. City should have something like street image.","We should have full inventory of images of every property and do that as a census, it will be really valuable info. IPS would be good place to park that. City should have something like street image."
NBD Kate,Final Thoughts:,Final Thoughts:
NBD Kate,Where does the historical records are store? Camino – if I open address can I see all these things that IPS used to handle.,Where does the historical records are store? Camino – if I open address can I see all these things that IPS used to handle.
NBD Kate,"Repository of history of properties would be great data source, when did something happen, what happen could be told by the pictures.","Repository of history of properties would be great data source, when did something happen, what happen could be told by the pictures."
NBD Neighborhood Planning,Madison: Selecting from drop-down for referrals (referred from) - for referral types (which agency they came from) and making a required field – data validation,Madison: Selecting from drop-down for referrals (referred from) - for referral types (which agency they came from) and making a required field – data validation
NBD Neighborhood Planning,System for DSS resettlement referrals – would be helpful to have documented which agency placed them within the system – would be great to be all in one place to track more regularly,System for DSS resettlement referrals – would be helpful to have documented which agency placed them within the system – would be great to be all in one place to track more regularly
NBD Neighborhood Planning,Set up ambassador referrals externally – when DSS case is inputted,Set up ambassador referrals externally – when DSS case is inputted
NBD Neighborhood Planning,"Kaylin: Loves IPS generally, only pain point is manual data entry (having to pay for bulk updates through vendor)","Kaylin: Loves IPS generally, only pain point is manual data entry (having to pay for bulk updates through vendor)"
NBD Neighborhood Planning,Cimone: System that comes with video trainings. Sometimes we have interns to do data entry – lots of time to explain it,Cimone: System that comes with video trainings. Sometimes we have interns to do data entry – lots of time to explain it
NBD Neighborhood Planning,Viewing eTax amounts would be helpful – would need to be daily,Viewing eTax amounts would be helpful – would need to be daily
NBD Neighborhood Planning,"Tax trust, county compromise agreements – legal stuff we have no insight into would be helpful to see","Tax trust, county compromise agreements – legal stuff we have no insight into would be helpful to see"
NBD Neighborhood Planning,Also at will of Law for them to enter in eTax in the first place – more of an FP process,Also at will of Law for them to enter in eTax in the first place – more of an FP process
NBD Neighborhood Planning,Ideally a unified location for that,Ideally a unified location for that
NBD Neighborhood Planning,Bankruptcy info is another one we don’t have great visibility into – typically updated in eTax,Bankruptcy info is another one we don’t have great visibility into – typically updated in eTax
NBD Neighborhood Planning,Madison: View street/houses nearby,Madison: View street/houses nearby
NBD Neighborhood Planning,"Ability see # of vacants, # tax delinquent properties in different quadrants - could be helpful planning tool","Ability see # of vacants, # tax delinquent properties in different quadrants - could be helpful planning tool"
NBD Neighborhood Planning,Expanding to include spatial element – move toward more of proactive model,Expanding to include spatial element – move toward more of proactive model
NBD Neighborhood Planning,Other tools:,Other tools:
NBD Neighborhood Planning,"ArcGIS, Google Maps, eTax, County Clerk database, AS400, eTax, RStudio (report pulling, QPD production)","ArcGIS, Google Maps, eTax, County Clerk database, AS400, eTax, RStudio (report pulling, QPD production)"
NBD Neighborhood Planning,Process mapping – could be helpful to bring this to NBD Quarterly,Process mapping – could be helpful to bring this to NBD Quarterly
NBD Neighborhood Planning,Madison will share ERP process map,Madison will share ERP process map
NBD Neighborhood Planning,Suinana – Cityline process mapping could be shared,Suinana – Cityline process mapping could be shared
